XUSXEYAF=MO07:00-10:00,TU05:06-10:11,WE00:00-21:35,TH13:33-14:44,FR19:15-20:29,SA00:16-00:47,SU01:05-09:15,
RSAYJICM=MO03:06-08:22,TU15:14-19:37,WE01:05-03:13,TH03:05-19:25,FR02:30-04:47,SA02:38-06:41,SU01:21-04:24,
GXGGSRBO=MO00:01-03:05,TU04:09-16:16,WE00:07-00:17,TH10:00-13:02,FR02:08-04:12,SA05:00-16:00,SU05:00-16:01,
UZTPWTCX=MO10:18-11:21,TU12:15-22:24,WE00:30-00:48,TH09:30-12:42,FR02:47-12:52,SA07:28-11:29,SU09:12-18:18,
OCGHXPZO=MO03:46-11:55,TU14:03-16:06,WE01:12-17:23,TH05:26-12:32,FR00:00-01:02,SA00:01-00:02,SU02:12-20:22,
ZTHIOPCL=MO01:15-19:51,TU01:09-09:43,WE04:02-17:06,TH06:23-12:37,FR15:15-19:18,SA03:15-08:20,SU02:07-07:11,
QZKDAWZX=MO03:18-05:52,TU04:37-10:40,WE04:32-06:39,TH00:13-10:42,FR09:05-15:24,SA11:13-17:34,SU02:04-14:12,
IFWGUVGR=MO05:14-12:49,TU02:17-12:43,WE04:16-15:28,TH20:06-22:21,FR04:02-09:10,SA02:10-10:12,SU03:26-10:55,
PPSXQZTQ=MO06:01-17:03,TU02:42-22:43,WE05:07-15:20,TH10:38-16:51,FR10:12-13:13,SA08:41-14:48,SU14:35-17:52,
KHTYXELY=MO05:17-06:24,TU03:04-07:19,WE05:12-06:14,TH02:03-03:38,FR00:04-00:07,SA05:15-06:57,SU00:02-02:39,
DBRTNVIC=MO11:34-22:43,TU00:05-00:40,WE13:10-21:26,TH08:08-19:31,FR01:01-02:02,SA01:20-08:29,SU01:09-02:16,
XBXXUVIV=MO03:35-11:48,TU01:07-02:10,WE13:06-15:16,TH00:18-05:30,FR00:09-02:11,SA06:11-12:17,SU16:01-17:02,
MOWUGLGN=MO09:03-14:09,TU07:20-15:25,WE05:10-06:53,TH11:33-18:52,FR02:13-08:33,SA03:05-06:16,SU02:33-12:47,
MXHYVFJK=MO13:04-16:12,TU04:11-05:40,WE07:18-16:31,TH08:03-09:06,FR01:38-03:39,SA03:05-11:48,SU00:19-06:31,
QLLQXWNS=MO14:21-19:45,TU02:01-04:03,WE04:08-05:34,TH00:31-01:33,FR05:45-18:48,SA10:00-22:02,SU11:07-22:35,
NTSVHNVO=MO18:20-22:21,TU02:02-03:08,WE01:34-02:51,TH08:12-20:19,FR14:05-17:17,SA03:01-13:08,SU05:18-06:20,
GRJJKVPC=MO01:04-12:05,TU01:24-02:51,WE11:54-12:55,TH05:19-12:54,FR02:04-07:38,SA10:09-16:24,SU04:01-15:10,
WSYCEVIN=MO07:00-20:28,TU03:20-09:37,WE00:08-04:31,TH02:28-22:32,FR00:34-01:48,SA20:11-22:15,SU11:06-18:32,
PIFAPZMK=MO04:12-11:21,TU10:14-21:51,WE11:12-15:20,TH00:39-01:42,FR00:15-00:20,SA10:04-12:47,SU05:25-19:36,
WNOATKHO=MO08:24-15:42,TU12:05-14:25,WE07:37-14:54,TH06:47-10:48,FR00:01-04:03,SA00:48-10:49,SU01:06-02:52,
UXYRIXTZ=MO08:17-09:54,TU03:05-10:16,WE11:17-16:32,TH11:20-20:42,FR13:07-14:12,SA10:39-20:47,SU01:04-06:14,
WPHEENDS=MO04:27-07:58,TU16:23-17:44,WE01:17-11:30,TH06:08-17:37,FR05:04-06:28,SA05:46-10:47,SU00:02-01:06,
YSXFJHRN=MO06:07-07:17,TU00:14-00:43,WE02:13-07:30,TH03:00-18:22,FR00:29-00:30,SA08:01-09:03,SU00:06-03:52,
OOQWZQJL=MO01:10-02:17,TU01:16-14:24,WE10:08-14:48,TH05:10-10:15,FR02:01-04:02,SA05:41-07:44,SU05:42-07:49,
SDTXWEAS=MO04:01-12:04,TU02:00-20:32,WE04:42-05:45,TH15:36-16:39,FR06:30-07:50,SA18:00-19:47,SU03:15-07:41,
HKJRSVAE=MO02:16-08:45,TU08:01-21:42,WE03:06-17:32,TH12:05-18:07,FR00:09-01:31,SA01:10-04:24,SU05:03-06:12,
SXMLLNRI=MO01:01-03:03,TU13:03-14:11,WE00:07-10:19,TH18:07-20:18,FR02:11-06:14,SA00:00-18:27,SU03:01-05:10,
POZHNJVZ=MO01:25-15:28,TU00:30-00:48,WE03:03-09:06,TH08:27-15:54,FR12:03-16:06,SA00:00-07:21,SU04:07-08:19,
CXXLZPUW=MO08:09-09:26,TU00:32-10:40,WE03:00-08:19,TH15:05-17:51,FR12:31-15:50,SA05:51-14:53,SU08:10-15:42,
FUTUNTNA=MO06:25-12:55,TU00:08-05:56,WE04:07-14:48,TH01:00-02:02,FR02:30-13:43,SA00:19-12:23,SU03:01-08:28,
YXHOCIKS=MO11:08-17:36,TU06:05-13:29,WE06:06-09:52,TH16:20-21:30,FR12:20-16:38,SA05:01-06:21,SU04:47-13:50,
GLCWATHK=MO17:25-18:52,TU00:49-03:58,WE14:08-15:44,TH03:05-06:20,FR02:26-15:50,SA04:19-05:42,SU00:01-04:15,
GHXZWCWG=MO04:28-09:43,TU00:35-05:53,WE11:32-13:50,TH05:23-22:28,FR01:02-03:06,SA06:49-09:52,SU00:15-01:31,
QIXODKXJ=MO00:43-02:49,TU01:08-06:11,WE01:03-04:14,TH02:06-03:09,FR00:08-00:54,SA05:08-11:48,SU02:00-05:01,
DJMAOVQR=MO01:00-02:00,TU04:08-09:14,WE10:15-14:18,TH00:02-03:55,FR01:20-03:24,SA10:35-11:57,SU07:16-15:17,
TLDZKRUT=MO00:14-07:57,TU00:23-03:28,WE01:02-08:24,TH00:02-01:26,FR05:27-14:46,SA12:07-16:10,SU15:18-20:48,
ABOSLDEJ=MO04:00-07:01,TU01:00-09:00,WE10:03-20:04,TH02:17-03:18,FR01:25-03:51,SA02:29-10:55,SU02:46-20:48,
NEPXXBXJ=MO08:06-12:22,TU03:04-04:26,WE01:08-06:18,TH01:20-11:51,FR07:02-12:04,SA00:42-04:51,SU17:06-21:23,
CLGXXIVB=MO06:02-07:13,TU03:04-06:32,WE18:35-20:49,TH01:27-18:55,FR05:10-09:41,SA13:04-19:09,SU03:21-09:42,
DOWHZGBO=MO00:14-04:27,TU05:02-09:08,WE03:05-10:10,TH14:42-17:48,FR19:10-20:25,SA04:23-05:58,SU07:03-22:29,
JZUJLPVB=MO00:00-04:03,TU03:02-17:06,WE05:05-06:14,TH05:35-06:39,FR04:00-06:03,SA06:06-17:33,SU01:20-15:25,
RGLVSYUC=MO11:00-12:49,TU00:23-02:38,WE00:18-02:21,TH16:13-22:31,FR19:06-20:09,SA05:31-09:48,SU09:00-17:00,
HGAXKRDW=MO17:38-19:57,TU01:32-08:36,WE03:03-10:14,TH08:00-09:03,FR00:18-02:19,SA02:16-04:33,SU06:13-07:30,
BBRHBYUH=MO02:00-08:01,TU00:06-01:16,WE06:04-09:15,TH09:26-10:38,FR12:29-15:37,SA01:17-18:21,SU02:12-03:22,
WILNXKHR=MO06:31-09:51,TU00:27-11:33,WE16:01-18:14,TH00:21-01:23,FR11:08-13:19,SA08:37-21:56,SU03:00-05:00,
NYQVLXTX=MO04:10-17:14,TU01:08-02:24,WE00:44-01:53,TH19:05-21:21,FR00:02-00:28,SA06:25-13:32,SU07:33-16:51,
ECVQOGJX=MO14:05-20:19,TU00:07-02:52,WE06:02-14:04,TH04:20-08:22,FR05:04-08:45,SA10:04-12:17,SU01:18-20:54,
OPFLLWWT=MO04:17-13:29,TU03:21-06:58,WE00:39-12:46,TH01:01-03:13,FR01:00-05:03,SA01:02-05:44,SU10:22-22:28,
KIAOFENR=MO05:19-16:40,TU03:37-17:57,WE12:00-15:04,TH03:03-07:21,FR08:06-10:07,SA00:24-01:41,SU00:30-00:56,
RPSIMKMS=MO02:00-11:01,TU03:34-04:39,WE20:14-21:26,TH00:02-00:03,FR00:16-01:33,SA16:24-18:49,SU01:26-04:46,
MNZXKFWA=MO12:15-15:45,TU03:00-10:15,WE03:09-04:15,TH00:17-00:24,FR00:31-01:53,SA00:00-13:03,SU00:39-04:50,
XCATGQGV=MO02:06-08:07,TU00:24-12:28,WE01:17-07:51,TH02:08-10:43,FR13:03-20:18,SA04:27-06:40,SU00:28-01:33,
YQWXIARP=MO17:45-19:56,TU02:18-11:21,WE07:13-13:53,TH00:12-15:30,FR12:06-18:19,SA05:10-10:51,SU01:19-07:32,
BSREJBDQ=MO04:00-06:51,TU00:01-13:04,WE01:04-02:32,TH10:19-16:57,FR09:42-12:55,SA04:22-16:33,SU19:16-20:22,
QJDEJUQR=MO07:14-08:21,TU00:04-04:10,WE00:06-09:36,TH01:08-03:09,FR08:00-15:01,SA01:29-06:33,SU03:00-08:01,
XKYUXFFF=MO05:29-07:44,TU03:01-06:07,WE00:00-01:01,TH04:32-11:46,FR05:26-09:56,SA04:02-18:12,SU13:26-14:45,
XNEFWVXJ=MO00:28-00:48,TU03:06-18:38,WE08:04-14:06,TH01:29-10:58,FR00:10-04:22,SA19:06-20:14,SU15:00-16:16,
ONLMXJXX=MO11:04-12:15,TU01:09-10:49,WE00:20-08:35,TH00:13-00:44,FR00:24-00:42,SA04:07-07:09,SU03:17-11:20,
FSWYNEQN=MO06:03-15:32,TU16:39-22:40,WE01:12-06:42,TH18:17-22:18,FR06:49-15:57,SA14:11-19:17,SU02:15-18:40,
WQTOWQHM=MO03:00-09:29,TU02:00-05:05,WE02:06-03:17,TH06:03-11:16,FR00:29-04:42,SA08:20-14:46,SU00:03-00:38,
MWLEZIHW=MO00:02-00:29,TU00:22-01:24,WE00:04-00:07,TH00:21-00:41,FR18:00-20:40,SA01:06-10:39,SU15:12-20:26,
APUAYTJY=MO06:10-09:13,TU01:06-09:20,WE02:13-07:29,TH04:01-22:10,FR01:11-22:16,SA18:26-19:40,SU11:00-12:00,
GIKMOWRP=MO03:03-09:05,TU01:00-03:00,WE18:00-19:03,TH00:01-00:05,FR04:06-06:55,SA11:22-17:28,SU00:03-04:04,
MVBCKUJF=MO01:08-04:40,TU00:06-01:11,WE10:03-15:05,TH06:02-11:12,FR02:07-05:09,SA06:00-13:11,SU08:11-09:16,
TQEKTWWR=MO10:43-11:51,TU02:05-10:08,WE10:00-18:17,TH04:32-13:48,FR10:24-12:29,SA02:18-16:36,SU18:15-22:44,
SPXISUTX=MO05:13-13:47,TU01:09-08:37,WE09:17-19:19,TH02:02-12:05,FR07:37-12:41,SA03:24-15:36,SU02:02-06:07,
XPXVENOV=MO02:02-20:06,TU12:34-19:48,WE01:42-03:51,TH04:20-05:31,FR00:18-01:31,SA08:33-17:44,SU08:00-16:00,
TEFPTSVV=MO08:05-15:07,TU12:16-13:32,WE02:00-11:01,TH08:00-19:19,FR01:00-02:04,SA16:10-19:39,SU06:41-09:51,
HHEAGYGV=MO06:14-12:21,TU03:19-09:55,WE11:08-13:28,TH01:01-02:02,FR05:22-08:27,SA01:09-14:22,SU00:24-18:32,
GGDWRXKR=MO04:17-18:53,TU00:04-01:15,WE00:08-10:39,TH06:11-12:14,FR00:00-03:06,SA00:46-00:51,SU00:00-00:03,
WWJHZQUJ=MO06:24-11:35,TU00:34-12:55,WE00:15-00:42,TH05:08-15:10,FR02:05-04:17,SA01:19-19:27,SU00:00-00:01,
NVZAUZAR=MO13:07-15:13,TU02:34-18:43,WE06:01-09:03,TH00:05-04:12,FR00:51-01:58,SA12:03-18:06,SU00:24-02:48,
ELNKQAOS=MO00:07-04:25,TU11:21-21:41,WE03:06-04:14,TH02:00-03:03,FR00:19-01:25,SA03:05-12:41,SU09:43-20:48,
BUUTYVJY=MO17:11-19:44,TU00:03-01:08,WE12:17-13:49,TH00:14-03:38,FR06:22-12:27,SA00:11-00:13,SU05:30-18:35,
LXCSNQHB=MO14:04-18:32,TU04:49-19:53,WE02:04-17:49,TH00:01-00:02,FR02:28-12:40,SA02:00-05:15,SU04:27-22:48,
BUUBPKDS=MO00:04-01:07,TU13:21-19:45,WE11:09-21:16,TH02:12-11:24,FR00:05-09:12,SA06:32-15:50,SU00:08-02:56,
CBNEKSCK=MO03:16-08:46,TU01:00-04:07,WE01:20-03:23,TH07:29-20:30,FR18:01-19:03,SA00:04-09:57,SU06:44-22:58,
XPBISXCS=MO11:14-12:20,TU00:15-07:23,WE02:37-06:52,TH03:30-12:52,FR01:09-18:33,SA02:07-04:10,SU03:38-10:39,
ITRXILSO=MO00:29-01:42,TU02:32-21:39,WE03:23-05:33,TH01:47-13:55,FR02:03-04:39,SA00:11-02:24,SU03:10-05:39,
FELMAXXR=MO01:17-02:56,TU14:02-21:21,WE00:22-20:28,TH00:12-01:49,FR11:02-20:52,SA09:45-14:52,SU00:27-00:29,
LXYHUQES=MO01:21-03:40,TU02:08-16:14,WE06:14-07:30,TH00:01-04:10,FR00:17-00:58,SA00:14-01:43,SU00:34-04:36,
YKHQMQDO=MO00:10-03:13,TU05:25-15:43,WE01:00-07:38,TH17:04-18:45,FR00:24-00:31,SA05:24-11:54,SU03:04-05:26,
RTJMPGNY=MO01:01-10:30,TU00:03-03:11,WE00:36-10:45,TH13:28-18:35,FR01:05-17:20,SA03:10-06:33,SU00:03-06:32,
MTOWIWEG=MO01:02-22:04,TU01:01-02:18,WE00:32-05:52,TH01:15-15:57,FR02:36-11:52,SA00:15-08:24,SU08:28-20:32,
HKXAUNHU=MO14:39-21:58,TU00:04-03:14,WE11:18-22:36,TH01:18-13:42,FR01:03-06:05,SA02:00-04:35,SU06:20-07:24,
FQLPFVPV=MO12:23-17:54,TU19:19-20:21,WE08:04-09:10,TH11:21-13:43,FR04:24-08:57,SA11:27-18:51,SU09:21-22:31,
DULANSCS=MO00:05-00:09,TU10:38-22:42,WE01:25-09:31,TH11:04-14:24,FR16:31-18:58,SA01:02-02:10,SU02:04-03:21,
TOYXJXPQ=MO05:12-07:13,TU01:05-07:10,WE00:03-01:25,TH02:15-04:29,FR17:07-22:14,SA07:08-15:33,SU02:05-03:06,
MIPCXKKA=MO01:33-05:40,TU00:27-06:35,WE11:00-20:00,TH00:03-01:46,FR00:13-03:39,SA00:12-22:26,SU11:15-19:34,
XVXPYXBP=MO00:03-08:05,TU00:04-01:06,WE06:14-18:43,TH01:28-19:36,FR04:08-05:12,SA08:01-13:19,SU07:03-20:11,
CAUZPLBX=MO00:11-03:13,TU03:12-20:33,WE00:35-01:58,TH10:14-19:29,FR04:05-09:06,SA02:03-06:11,SU02:30-04:53,
OVTACWXK=MO01:01-02:06,TU10:02-12:06,WE05:13-16:32,TH07:05-17:50,FR07:01-16:22,SA02:32-04:37,SU02:00-03:00,
APFPKALB=MO08:12-16:22,TU04:09-15:11,WE00:27-13:53,TH00:00-02:01,FR14:20-20:38,SA19:18-20:33,SU03:00-06:09,
OTVSMWTK=MO01:06-16:23,TU02:20-13:22,WE00:00-13:01,TH05:13-06:37,FR05:09-08:30,SA13:11-21:16,SU08:35-18:57,
YEOADUKO=MO14:35-15:43,TU03:02-15:04,WE01:00-04:25,TH04:11-11:27,FR06:15-20:49,SA00:12-08:18,SU07:34-11:45,
UFIJGKVO=MO14:21-22:33,TU06:01-08:08,WE12:25-17:53,TH04:07-05:20,FR00:50-01:57,SA04:38-17:40,SU08:03-09:04,
ZHPBXXIY=MO00:21-01:23,TU00:06-05:12,WE15:01-17:04,TH04:00-08:12,FR01:03-13:20,SA00:03-00:11,SU03:01-06:02,
BKBXWPHE=MO05:14-11:16,TU08:03-19:39,WE02:08-06:51,TH05:23-13:32,FR02:17-22:38,SA01:02-08:07,SU00:06-04:15,
UGFVJMAG=MO16:01-22:06,TU11:06-13:15,WE18:23-20:24,TH14:02-15:06,FR00:05-06:49,SA07:07-11:13,SU10:04-20:26,
JBWUABRA=MO00:02-03:27,TU07:16-10:43,WE04:35-06:46,TH05:32-06:40,FR00:35-01:40,SA10:01-14:04,SU00:05-04:17,
RHRVOGWX=MO02:16-04:33,TU00:00-00:00,WE00:25-00:47,TH13:10-22:28,FR04:19-18:34,SA02:00-11:01,SU01:00-06:22,
SONVVZDM=MO10:09-17:39,TU03:02-15:03,WE04:05-10:08,TH04:12-16:23,FR05:08-13:29,SA15:10-18:17,SU00:11-16:39,
RHXNRYDP=MO01:00-07:01,TU00:00-01:37,WE09:25-12:50,TH02:02-10:17,FR09:05-14:57,SA04:08-09:19,SU02:03-07:32,
VOODGLDH=MO05:06-07:09,TU03:20-20:52,WE03:11-08:21,TH00:00-00:19,FR05:10-08:54,SA03:27-06:53,SU00:04-05:18,
RSJIPZHP=MO00:24-03:37,TU08:04-19:25,WE10:03-17:37,TH09:18-18:24,FR09:23-16:25,SA06:40-10:42,SU05:16-13:38,
BXKGQNSF=MO01:00-13:03,TU18:00-19:03,WE12:13-13:23,TH02:12-20:15,FR13:16-22:40,SA14:00-18:46,SU16:25-19:54,
CZLULEJR=MO11:01-12:19,TU01:35-03:53,WE07:33-08:43,TH04:18-15:50,FR03:01-10:22,SA06:06-16:16,SU02:09-07:14,
TXTPEXPB=MO01:23-03:54,TU07:02-12:16,WE05:08-09:11,TH16:04-18:42,FR07:02-08:03,SA04:06-14:30,SU03:27-10:40,
IJUAOJFA=MO11:01-18:04,TU16:18-21:23,WE02:12-16:46,TH03:09-04:10,FR05:36-13:56,SA03:20-08:40,SU04:00-05:04,
JLYLUTQG=MO16:21-20:54,TU04:05-16:11,WE00:07-01:19,TH04:40-05:46,FR02:06-04:11,SA10:21-11:30,SU09:14-16:44,
ILRGGPYJ=MO00:16-22:36,TU12:36-22:37,WE00:15-00:39,TH00:25-03:37,FR09:01-14:10,SA09:09-12:12,SU00:03-03:15,
KSSFXXWF=MO00:11-00:33,TU00:00-01:26,WE00:13-00:16,TH03:00-19:53,FR05:11-20:15,SA01:00-08:05,SU08:00-20:34,
JGPWCKWX=MO01:09-02:50,TU08:29-17:48,WE00:30-03:37,TH10:15-16:50,FR08:20-10:49,SA04:26-06:34,SU08:01-10:05,
LGVISXOH=MO11:08-16:24,TU03:12-08:28,WE01:03-04:34,TH05:02-06:18,FR15:17-18:37,SA00:10-04:22,SU11:19-13:26,
WQWDDSDL=MO20:00-21:17,TU00:25-01:43,WE01:10-03:57,TH12:19-13:22,FR04:16-22:44,SA08:00-20:01,SU02:05-19:49,
BALATXUY=MO03:05-22:15,TU19:00-21:02,WE18:00-22:58,TH01:01-07:47,FR01:18-18:32,SA13:38-20:50,SU13:27-15:43,
IOYYMAAP=MO10:12-11:33,TU11:41-20:55,WE09:36-13:37,TH00:26-22:28,FR00:00-04:05,SA00:17-19:31,SU00:21-10:55,
BPHILGWB=MO04:51-09:58,TU02:00-05:03,WE04:08-21:18,TH07:09-14:10,FR16:28-20:52,SA06:06-08:58,SU00:07-01:24,
CWQTIRVQ=MO13:17-18:34,TU05:00-10:05,WE01:43-05:57,TH06:00-21:10,FR09:00-13:33,SA02:03-16:24,SU05:29-11:31,
ZYDGSNLA=MO10:02-16:10,TU15:36-22:51,WE00:17-01:23,TH17:00-22:43,FR00:21-05:29,SA03:15-04:21,SU01:20-09:51,
BANIDFTM=MO00:31-00:32,TU01:11-03:17,WE00:03-00:49,TH06:07-09:08,FR00:08-01:19,SA07:30-10:51,SU00:01-16:02,
SSTJWXAI=MO01:03-14:17,TU00:14-01:51,WE05:26-11:36,TH02:43-17:45,FR08:00-13:05,SA00:07-08:22,SU06:34-13:49,
URCNXOJL=MO04:01-05:05,TU10:36-14:51,WE02:14-04:21,TH03:15-08:44,FR07:39-08:41,SA06:31-10:34,SU03:01-16:44,
JZEWFJLH=MO03:08-06:44,TU04:14-05:18,WE02:18-20:34,TH01:00-02:01,FR00:49-12:51,SA00:01-05:08,SU00:00-00:15,
DVCBNJIZ=MO01:14-02:20,TU08:00-21:01,WE01:15-12:27,TH00:02-02:42,FR02:09-20:55,SA07:25-21:56,SU10:38-15:50,
LJYQXEGH=MO04:50-17:56,TU11:11-22:19,WE16:01-17:09,TH02:02-05:13,FR19:04-21:05,SA08:01-16:02,SU09:02-10:08,
VWLEWVIY=MO08:09-10:53,TU18:28-22:37,WE01:22-12:29,TH00:33-04:35,FR14:31-19:58,SA01:35-08:39,SU00:14-01:17,
FLVYMCOW=MO01:04-18:12,TU16:06-21:30,WE05:29-13:40,TH00:11-00:25,FR12:01-13:04,SA09:05-18:41,SU01:15-05:19,
EOMYKMDS=MO10:03-14:21,TU01:02-16:08,WE00:38-02:48,TH02:10-06:44,FR07:01-18:41,SA01:11-18:15,SU19:26-21:27,
ZXSKVFYH=MO06:11-17:12,TU03:00-07:14,WE09:25-22:32,TH00:03-14:09,FR07:25-08:40,SA05:11-12:19,SU02:04-06:32,
ETEHCMEJ=MO15:06-21:22,TU01:35-10:55,WE08:07-16:12,TH01:04-18:18,FR00:23-09:28,SA01:13-10:17,SU00:20-02:48,
WHCABSBD=MO00:38-00:39,TU01:04-02:10,WE14:19-21:21,TH06:01-07:04,FR05:24-14:33,SA02:24-05:31,SU02:41-05:47,
NHNXUCPN=MO03:04-04:05,TU01:00-02:00,WE05:04-14:19,TH08:29-18:35,FR03:03-22:21,SA11:00-19:01,SU01:17-02:40,
CSDHAUBM=MO08:07-16:20,TU07:06-21:20,WE01:11-03:33,TH03:08-05:45,FR03:00-13:07,SA00:09-03:42,SU04:00-10:00,
NZGFPXHH=MO03:26-11:55,TU00:33-01:41,WE00:24-00:46,TH10:24-14:43,FR17:09-21:10,SA00:14-19:28,SU09:02-20:10,
KKHPAQAH=MO01:01-16:58,TU11:21-18:24,WE02:01-05:20,TH02:11-11:12,FR00:41-10:58,SA00:10-05:22,SU01:03-02:06,
MKSZMBYM=MO10:08-14:15,TU13:03-17:15,WE07:33-18:44,TH00:00-04:01,FR05:04-11:09,SA08:01-15:07,SU00:00-14:11,
MWXVQGGC=MO14:05-15:15,TU07:05-11:47,WE05:19-14:40,TH06:01-18:03,FR06:43-19:56,SA08:02-18:11,SU00:17-04:18,
QHXJJIOK=MO03:27-13:39,TU01:05-16:34,WE19:14-21:39,TH12:04-17:06,FR08:28-17:33,SA15:22-21:30,SU01:02-20:29,
RIHYACSN=MO03:03-09:18,TU01:06-04:08,WE15:09-16:10,TH00:17-02:49,FR02:19-06:43,SA06:30-07:55,SU00:03-00:25,
VECCDIKM=MO00:23-04:33,TU00:04-11:11,WE12:00-19:07,TH05:14-06:22,FR00:11-00:40,SA00:02-02:04,SU09:07-12:49,
UKCAQAQP=MO00:19-01:26,TU10:07-16:53,WE01:13-17:17,TH14:14-20:39,FR03:16-06:21,SA12:01-18:02,SU00:00-02:19,
WDBAVDON=MO07:19-11:41,TU00:02-00:28,WE04:28-15:47,TH05:00-15:10,FR14:11-16:12,SA05:17-09:19,SU00:16-01:31,
BIGFKBQC=MO00:27-00:37,TU04:26-07:44,WE02:03-12:05,TH00:00-10:01,FR07:06-12:09,SA02:05-19:11,SU04:04-12:33,
FODOSWNB=MO09:38-13:48,TU02:05-05:09,WE04:00-05:02,TH01:04-18:49,FR07:26-13:42,SA05:05-12:06,SU05:47-13:49,
BJAZVUBT=MO03:08-05:20,TU00:17-01:26,WE01:00-03:16,TH05:19-20:32,FR01:39-08:45,SA09:18-14:48,SU01:32-18:45,
WXPHOUDX=MO00:02-03:30,TU05:03-14:17,WE01:01-03:34,TH00:01-02:05,FR08:24-09:38,SA05:00-07:01,SU02:28-03:46,
VTXJYELN=MO00:03-03:48,TU00:00-12:00,WE04:25-12:34,TH02:07-04:25,FR00:36-00:38,SA09:13-20:51,SU05:04-13:25,
ZQHCWODF=MO06:21-10:48,TU05:01-10:06,WE01:06-17:16,TH05:08-07:46,FR00:32-01:44,SA01:01-04:11,SU00:00-05:16,
